location,date,origin,entries
Rennes les champs libres,2010-09-11,rdc retour,193
Rennes les champs libres,2010-09-12,rdc retour,24
Rennes les champs libres,2010-09-14,rdc retour,124
Rennes les champs libres,2010-09-15,rdc retour,128
Rennes les champs libres,2010-09-16,rdc retour,76
Rennes les champs libres,2010-09-17,rdc retour,90
Rennes les champs libres,2010-09-18,rdc retour,159
Rennes les champs libres,2010-09-19,rdc retour,27
Rennes les champs libres,2010-09-21,rdc retour,128
Rennes les champs libres,2010-09-22,rdc retour,141
Rennes les champs libres,2010-09-23,rdc retour,92
Rennes les champs libres,2010-09-24,rdc retour,113
Rennes les champs libres,2010-09-25,rdc retour,192
Rennes les champs libres,2010-09-26,rdc retour,4
Rennes les champs libres,2010-09-28,rdc retour,133
Rennes les champs libres,2010-09-29,rdc retour,150
Rennes les champs libres,2010-09-30,rdc retour,77
Rennes les champs libres,2010-10-01,rdc retour,70
Rennes les champs libres,2010-10-02,rdc retour,275
Rennes les champs libres,2010-10-03,rdc retour,155
Rennes les champs libres,2010-10-05,rdc retour,158
Rennes les champs libres,2010-10-06,rdc retour,157
Rennes les champs libres,2010-10-07,rdc retour,87
Rennes les champs libres,2010-10-08,rdc retour,97
Rennes les champs libres,2010-10-09,rdc retour,179
Rennes les champs libres,2010-10-10,rdc retour,112
Rennes les champs libres,2010-10-12,rdc retour,78
Rennes les champs libres,2010-10-13,rdc retour,172
Rennes les champs libres,2010-10-14,rdc retour,106
Rennes les champs libres,2010-10-15,rdc retour,119
Rennes les champs libres,2010-10-16,rdc retour,153
Rennes les champs libres,2010-10-17,rdc retour,121
Rennes les champs libres,2010-10-19,rdc retour,85
Rennes les champs libres,2010-10-20,rdc retour,162
Rennes les champs libres,2010-10-21,rdc retour,117
Rennes les champs libres,2010-10-22,rdc retour,101
Rennes les champs libres,2010-10-23,rdc retour,232
Rennes les champs libres,2010-10-24,rdc retour,106
Rennes les champs libres,2010-10-26,rdc retour,183
Rennes les champs libres,2010-10-27,rdc retour,142
Rennes les champs libres,2010-10-28,rdc retour,105
Rennes les champs libres,2010-10-29,rdc retour,136
Rennes les champs libres,2010-10-30,rdc retour,163
Rennes les champs libres,2010-10-31,rdc retour,106
Rennes les champs libres,2010-11-02,rdc retour,201
Rennes les champs libres,2010-11-03,rdc retour,129
Rennes les champs libres,2010-11-04,rdc retour,88
Rennes les champs libres,2010-11-05,rdc retour,96
Rennes les champs libres,2010-11-06,rdc retour,222
Rennes les champs libres,2010-11-07,rdc retour,97
Rennes les champs libres,2010-11-09,rdc retour,128
Rennes les champs libres,2010-11-10,rdc retour,174
Rennes les champs libres,2010-11-11,rdc retour,1
Rennes les champs libres,2010-11-12,rdc retour,250
Rennes les champs libres,2010-11-13,rdc retour,167
Rennes les champs libres,2010-11-14,rdc retour,183
Rennes les champs libres,2010-11-16,rdc retour,124
Rennes les champs libres,2010-11-17,rdc retour,132
Rennes les champs libres,2010-11-18,rdc retour,67
Rennes les champs libres,2010-11-19,rdc retour,81
Rennes les champs libres,2010-11-20,rdc retour,215
Rennes les champs libres,2010-11-21,rdc retour,189
Rennes les champs libres,2010-11-23,rdc retour,120
Rennes les champs libres,2010-11-24,rdc retour,134
Rennes les champs libres,2010-11-25,rdc retour,65
Rennes les champs libres,2010-11-26,rdc retour,106
Rennes les champs libres,2010-11-27,rdc retour,202
Rennes les champs libres,2010-11-28,rdc retour,166
Rennes les champs libres,2010-11-30,rdc retour,131
Rennes les champs libres,2010-12-01,rdc retour,170
Rennes les champs libres,2010-12-02,rdc retour,72
Rennes les champs libres,2010-12-03,rdc retour,115
Rennes les champs libres,2010-12-04,rdc retour,238
Rennes les champs libres,2010-12-05,rdc retour,190
Rennes les champs libres,2010-12-07,rdc retour,112
Rennes les champs libres,2010-12-08,rdc retour,129
Rennes les champs libres,2010-12-09,rdc retour,65
Rennes les champs libres,2010-12-10,rdc retour,101
Rennes les champs libres,2010-12-11,rdc retour,180
Rennes les champs libres,2010-12-12,rdc retour,183
Rennes les champs libres,2010-12-14,rdc retour,124
Rennes les champs libres,2010-12-15,rdc retour,148
Rennes les champs libres,2010-12-16,rdc retour,67
Rennes les champs libres,2010-12-17,rdc retour,107
Rennes les champs libres,2010-12-18,rdc retour,165
Rennes les champs libres,2010-12-19,rdc retour,176
Rennes les champs libres,2010-12-21,rdc retour,226
