location,date,origin,entries
Rennes les champs libres,2011-01-20,rdc 2,39
Rennes les champs libres,2011-01-21,rdc 2,40
Rennes les champs libres,2011-01-22,rdc 2,54
Rennes les champs libres,2011-01-23,rdc 2,37
Rennes les champs libres,2011-01-25,rdc 2,23
Rennes les champs libres,2011-01-26,rdc 2,69
Rennes les champs libres,2011-01-27,rdc 2,23
Rennes les champs libres,2011-01-28,rdc 2,22
Rennes les champs libres,2011-01-29,rdc 2,40
Rennes les champs libres,2011-01-30,rdc 2,24
Rennes les champs libres,2011-02-01,rdc 2,40
Rennes les champs libres,2011-02-02,rdc 2,43
Rennes les champs libres,2011-02-03,rdc 2,21
Rennes les champs libres,2011-02-04,rdc 2,21
Rennes les champs libres,2011-02-05,rdc 2,37
Rennes les champs libres,2011-02-06,rdc 2,55
Rennes les champs libres,2011-02-08,rdc 2,54
Rennes les champs libres,2011-02-09,rdc 2,58
Rennes les champs libres,2011-02-10,rdc 2,24
Rennes les champs libres,2011-02-11,rdc 2,32
Rennes les champs libres,2011-02-12,rdc 2,37
Rennes les champs libres,2011-02-13,rdc 2,58
Rennes les champs libres,2011-02-15,rdc 2,34
Rennes les champs libres,2011-02-16,rdc 2,37
Rennes les champs libres,2011-02-17,rdc 2,37
Rennes les champs libres,2011-02-18,rdc 2,31
Rennes les champs libres,2011-02-19,rdc 2,58
Rennes les champs libres,2011-02-20,rdc 2,49
Rennes les champs libres,2011-02-22,rdc 2,37
Rennes les champs libres,2011-02-23,rdc 2,38
Rennes les champs libres,2011-02-24,rdc 2,35
Rennes les champs libres,2011-02-25,rdc 2,31
Rennes les champs libres,2011-02-26,rdc 2,60
Rennes les champs libres,2011-02-27,rdc 2,42
Rennes les champs libres,2011-03-01,rdc 2,59
Rennes les champs libres,2011-03-02,rdc 2,47
Rennes les champs libres,2011-03-03,rdc 2,48
Rennes les champs libres,2011-03-04,rdc 2,32
Rennes les champs libres,2011-03-05,rdc 2,36
Rennes les champs libres,2011-03-06,rdc 2,35
Rennes les champs libres,2011-03-08,rdc 2,54
Rennes les champs libres,2011-03-09,rdc 2,50
Rennes les champs libres,2011-03-10,rdc 2,58
Rennes les champs libres,2011-03-11,rdc 2,44
Rennes les champs libres,2011-03-12,rdc 2,59
Rennes les champs libres,2011-03-13,rdc 2,41
Rennes les champs libres,2011-03-15,rdc 2,35
Rennes les champs libres,2011-03-16,rdc 2,46
Rennes les champs libres,2011-03-17,rdc 2,30
Rennes les champs libres,2011-03-18,rdc 2,29
Rennes les champs libres,2011-03-19,rdc 2,34
Rennes les champs libres,2011-03-20,rdc 2,32
Rennes les champs libres,2011-03-22,rdc 2,30
Rennes les champs libres,2011-03-23,rdc 2,27
Rennes les champs libres,2011-03-24,rdc 2,33
Rennes les champs libres,2011-03-25,rdc 2,35
Rennes les champs libres,2011-03-26,rdc 2,41
Rennes les champs libres,2011-03-27,rdc 2,42
Rennes les champs libres,2011-03-29,rdc 2,26
Rennes les champs libres,2011-03-30,rdc 2,61
Rennes les champs libres,2011-03-31,rdc 2,36
Rennes les champs libres,2011-04-01,rdc 2,28
Rennes les champs libres,2011-04-02,rdc 2,27
Rennes les champs libres,2011-04-03,rdc 2,46
Rennes les champs libres,2011-04-05,rdc 2,31
Rennes les champs libres,2011-04-06,rdc 2,32
Rennes les champs libres,2011-04-07,rdc 2,31
Rennes les champs libres,2011-04-08,rdc 2,27
Rennes les champs libres,2011-04-09,rdc 2,30
Rennes les champs libres,2011-04-10,rdc 2,21
Rennes les champs libres,2011-04-12,rdc 2,57
Rennes les champs libres,2011-04-13,rdc 2,33
Rennes les champs libres,2011-04-14,rdc 2,28
Rennes les champs libres,2011-04-15,rdc 2,18
Rennes les champs libres,2011-04-16,rdc 2,37
Rennes les champs libres,2011-04-17,rdc 2,38
Rennes les champs libres,2011-04-19,rdc 2,46
Rennes les champs libres,2011-04-20,rdc 2,30
Rennes les champs libres,2011-04-21,rdc 2,24
Rennes les champs libres,2011-04-22,rdc 2,23
Rennes les champs libres,2011-04-23,rdc 2,24
Rennes les champs libres,2011-04-26,rdc 2,65
Rennes les champs libres,2011-04-27,rdc 2,26
Rennes les champs libres,2011-04-28,rdc 2,38
Rennes les champs libres,2011-04-29,rdc 2,39
Rennes les champs libres,2011-04-30,rdc 2,38
Rennes les champs libres,2011-05-03,rdc 2,48
Rennes les champs libres,2011-05-04,rdc 2,57
Rennes les champs libres,2011-05-05,rdc 2,40
Rennes les champs libres,2011-05-06,rdc 2,39
Rennes les champs libres,2011-05-07,rdc 2,36
Rennes les champs libres,2011-05-10,rdc 2,50
Rennes les champs libres,2011-05-11,rdc 2,49
Rennes les champs libres,2011-05-12,rdc 2,37
Rennes les champs libres,2011-05-13,rdc 2,23
Rennes les champs libres,2011-05-14,rdc 2,40
Rennes les champs libres,2011-05-15,rdc 2,36
Rennes les champs libres,2011-05-17,rdc 2,42
Rennes les champs libres,2011-05-18,rdc 2,44
Rennes les champs libres,2011-05-19,rdc 2,27
Rennes les champs libres,2011-05-20,rdc 2,28
Rennes les champs libres,2011-05-21,rdc 2,32
Rennes les champs libres,2011-05-22,rdc 2,20
Rennes les champs libres,2011-05-24,rdc 2,45
Rennes les champs libres,2011-05-25,rdc 2,38
Rennes les champs libres,2011-05-26,rdc 2,30
Rennes les champs libres,2011-05-27,rdc 2,28
Rennes les champs libres,2011-05-28,rdc 2,27
Rennes les champs libres,2011-05-29,rdc 2,18
Rennes les champs libres,2011-05-31,rdc 2,71
Rennes les champs libres,2011-06-01,rdc 2,34
Rennes les champs libres,2011-06-03,rdc 2,51
Rennes les champs libres,2011-06-04,rdc 2,32
Rennes les champs libres,2011-06-05,rdc 2,23
Rennes les champs libres,2011-06-07,rdc 2,47
Rennes les champs libres,2011-06-08,rdc 2,32
Rennes les champs libres,2011-06-09,rdc 2,34
Rennes les champs libres,2011-06-10,rdc 2,30
Rennes les champs libres,2011-06-11,rdc 2,41
Rennes les champs libres,2011-06-14,rdc 2,47
Rennes les champs libres,2011-06-15,rdc 2,29
Rennes les champs libres,2011-06-16,rdc 2,31
Rennes les champs libres,2011-06-17,rdc 2,32
Rennes les champs libres,2011-06-18,rdc 2,31
Rennes les champs libres,2011-06-19,rdc 2,17
Rennes les champs libres,2011-06-21,rdc 2,51
Rennes les champs libres,2011-06-22,rdc 2,40
Rennes les champs libres,2011-06-23,rdc 2,24
Rennes les champs libres,2011-06-24,rdc 2,29
Rennes les champs libres,2011-06-25,rdc 2,16
Rennes les champs libres,2011-06-26,rdc 2,26
Rennes les champs libres,2011-06-28,rdc 2,23
Rennes les champs libres,2011-06-29,rdc 2,30
Rennes les champs libres,2011-06-30,rdc 2,27
Rennes les champs libres,2011-07-01,rdc 2,25
Rennes les champs libres,2011-07-02,rdc 2,28
Rennes les champs libres,2011-07-03,rdc 2,2
Rennes les champs libres,2011-07-05,rdc 2,58
Rennes les champs libres,2011-07-06,rdc 2,35
Rennes les champs libres,2011-07-07,rdc 2,26
Rennes les champs libres,2011-07-08,rdc 2,34
Rennes les champs libres,2011-07-09,rdc 2,19
Rennes les champs libres,2011-07-12,rdc 2,51
Rennes les champs libres,2011-07-13,rdc 2,29
Rennes les champs libres,2011-07-15,rdc 2,38
Rennes les champs libres,2011-07-16,rdc 2,61
Rennes les champs libres,2011-07-19,rdc 2,60
Rennes les champs libres,2011-07-20,rdc 2,41
Rennes les champs libres,2011-07-21,rdc 2,30
Rennes les champs libres,2011-07-22,rdc 2,43
Rennes les champs libres,2011-07-23,rdc 2,32
Rennes les champs libres,2011-07-26,rdc 2,45
Rennes les champs libres,2011-07-27,rdc 2,21
Rennes les champs libres,2011-07-28,rdc 2,35
Rennes les champs libres,2011-07-29,rdc 2,25
Rennes les champs libres,2011-07-30,rdc 2,22
Rennes les champs libres,2011-08-02,rdc 2,17
Rennes les champs libres,2011-08-03,rdc 2,21
Rennes les champs libres,2011-08-04,rdc 2,39
Rennes les champs libres,2011-08-05,rdc 2,34
Rennes les champs libres,2011-08-06,rdc 2,24
Rennes les champs libres,2011-08-09,rdc 2,33
Rennes les champs libres,2011-08-10,rdc 2,23
Rennes les champs libres,2011-08-11,rdc 2,25
Rennes les champs libres,2011-08-12,rdc 2,25
Rennes les champs libres,2011-08-13,rdc 2,21
Rennes les champs libres,2011-08-16,rdc 2,31
Rennes les champs libres,2011-08-17,rdc 2,22
Rennes les champs libres,2011-08-18,rdc 2,36
Rennes les champs libres,2011-08-19,rdc 2,26
Rennes les champs libres,2011-08-20,rdc 2,28
Rennes les champs libres,2011-08-23,rdc 2,41
Rennes les champs libres,2011-08-24,rdc 2,25
Rennes les champs libres,2011-08-25,rdc 2,44
Rennes les champs libres,2011-08-26,rdc 2,26
Rennes les champs libres,2011-08-27,rdc 2,36
Rennes les champs libres,2011-08-30,rdc 2,29
Rennes les champs libres,2011-08-31,rdc 2,36
Rennes les champs libres,2011-09-01,rdc 2,48
Rennes les champs libres,2011-09-02,rdc 2,39
Rennes les champs libres,2011-09-03,rdc 2,39
Rennes les champs libres,2011-09-04,rdc 2,14
Rennes les champs libres,2011-09-06,rdc 2,41
Rennes les champs libres,2011-09-07,rdc 2,45
Rennes les champs libres,2011-09-08,rdc 2,33
Rennes les champs libres,2011-09-09,rdc 2,30
Rennes les champs libres,2011-09-10,rdc 2,44
Rennes les champs libres,2011-09-11,rdc 2,37
Rennes les champs libres,2011-09-13,rdc 2,35
Rennes les champs libres,2011-09-14,rdc 2,37
Rennes les champs libres,2011-09-15,rdc 2,22
Rennes les champs libres,2011-09-16,rdc 2,20
Rennes les champs libres,2011-09-17,rdc 2,49
Rennes les champs libres,2011-09-18,rdc 2,28
Rennes les champs libres,2011-09-20,rdc 2,37
Rennes les champs libres,2011-09-21,rdc 2,33
Rennes les champs libres,2011-09-22,rdc 2,41
Rennes les champs libres,2011-09-23,rdc 2,18
Rennes les champs libres,2011-09-24,rdc 2,37
Rennes les champs libres,2011-09-25,rdc 2,30
Rennes les champs libres,2011-09-27,rdc 2,50
Rennes les champs libres,2011-09-28,rdc 2,33
Rennes les champs libres,2011-09-29,rdc 2,61
Rennes les champs libres,2011-09-30,rdc 2,39
Rennes les champs libres,2011-10-01,rdc 2,32
Rennes les champs libres,2011-10-02,rdc 2,18
Rennes les champs libres,2011-10-04,rdc 2,56
Rennes les champs libres,2011-10-05,rdc 2,35
Rennes les champs libres,2011-10-06,rdc 2,25
Rennes les champs libres,2011-10-07,rdc 2,141
Rennes les champs libres,2011-10-08,rdc 2,65
Rennes les champs libres,2011-10-09,rdc 2,34
Rennes les champs libres,2011-10-11,rdc 2,49
Rennes les champs libres,2011-10-12,rdc 2,44
Rennes les champs libres,2011-10-13,rdc 2,30
Rennes les champs libres,2011-10-14,rdc 2,37
Rennes les champs libres,2011-10-15,rdc 2,39
Rennes les champs libres,2011-10-16,rdc 2,27
Rennes les champs libres,2011-10-18,rdc 2,36
Rennes les champs libres,2011-10-19,rdc 2,34
Rennes les champs libres,2011-10-20,rdc 2,37
Rennes les champs libres,2011-10-21,rdc 2,32
Rennes les champs libres,2011-10-22,rdc 2,46
Rennes les champs libres,2011-10-23,rdc 2,49
Rennes les champs libres,2011-10-25,rdc 2,80
Rennes les champs libres,2011-10-26,rdc 2,45
Rennes les champs libres,2011-10-27,rdc 2,73
Rennes les champs libres,2011-10-28,rdc 2,44
Rennes les champs libres,2011-10-29,rdc 2,36
Rennes les champs libres,2011-10-30,rdc 2,45
Rennes les champs libres,2011-11-02,rdc 2,263
Rennes les champs libres,2011-11-03,rdc 2,41
Rennes les champs libres,2011-11-04,rdc 2,26
Rennes les champs libres,2011-11-05,rdc 2,63
Rennes les champs libres,2011-11-06,rdc 2,62
Rennes les champs libres,2011-11-08,rdc 2,42
Rennes les champs libres,2011-11-09,rdc 2,43
Rennes les champs libres,2011-11-10,rdc 2,25
Rennes les champs libres,2011-11-12,rdc 2,58
Rennes les champs libres,2011-11-13,rdc 2,54
Rennes les champs libres,2011-11-15,rdc 2,49
Rennes les champs libres,2011-11-16,rdc 2,37
Rennes les champs libres,2011-11-17,rdc 2,33
Rennes les champs libres,2011-11-18,rdc 2,22
Rennes les champs libres,2011-11-19,rdc 2,57
Rennes les champs libres,2011-11-20,rdc 2,56
Rennes les champs libres,2011-11-22,rdc 2,47
Rennes les champs libres,2011-11-23,rdc 2,47
Rennes les champs libres,2011-11-24,rdc 2,39
Rennes les champs libres,2011-11-25,rdc 2,52
Rennes les champs libres,2011-11-26,rdc 2,40
Rennes les champs libres,2011-11-27,rdc 2,42
Rennes les champs libres,2011-11-29,rdc 2,46
Rennes les champs libres,2011-11-30,rdc 2,56
Rennes les champs libres,2011-12-01,rdc 2,23
Rennes les champs libres,2011-12-02,rdc 2,27
Rennes les champs libres,2011-12-03,rdc 2,58
Rennes les champs libres,2011-12-04,rdc 2,39
Rennes les champs libres,2011-12-06,rdc 2,43
Rennes les champs libres,2011-12-07,rdc 2,39
Rennes les champs libres,2011-12-08,rdc 2,29
Rennes les champs libres,2011-12-09,rdc 2,28
Rennes les champs libres,2011-12-10,rdc 2,43
Rennes les champs libres,2011-12-11,rdc 2,53
Rennes les champs libres,2011-12-13,rdc 2,35
Rennes les champs libres,2011-12-14,rdc 2,29
Rennes les champs libres,2011-12-15,rdc 2,36
Rennes les champs libres,2011-12-16,rdc 2,34
Rennes les champs libres,2011-12-17,rdc 2,40
Rennes les champs libres,2011-12-18,rdc 2,44
Rennes les champs libres,2011-12-20,rdc 2,49
Rennes les champs libres,2011-12-21,rdc 2,43
Rennes les champs libres,2011-12-22,rdc 2,58
Rennes les champs libres,2011-12-23,rdc 2,48
Rennes les champs libres,2011-12-24,rdc 2,14
Rennes les champs libres,2011-12-27,rdc 2,65
Rennes les champs libres,2011-12-28,rdc 2,69
Rennes les champs libres,2011-12-29,rdc 2,40
Rennes les champs libres,2011-12-30,rdc 2,48
Rennes les champs libres,2011-01-18,rdc 3,2565
Rennes les champs libres,2011-01-19,rdc 3,1983
Rennes les champs libres,2011-01-20,rdc 3,1367
Rennes les champs libres,2011-01-21,rdc 3,1276
Rennes les champs libres,2011-01-22,rdc 3,1814
Rennes les champs libres,2011-01-23,rdc 3,1699
Rennes les champs libres,2011-01-25,rdc 3,1782
Rennes les champs libres,2011-01-26,rdc 3,1665
Rennes les champs libres,2011-01-27,rdc 3,1093
Rennes les champs libres,2011-01-28,rdc 3,1060
Rennes les champs libres,2011-01-29,rdc 3,1734
Rennes les champs libres,2011-01-30,rdc 3,1361
Rennes les champs libres,2011-02-01,rdc 3,1637
Rennes les champs libres,2011-02-02,rdc 3,1564
Rennes les champs libres,2011-02-03,rdc 3,21
Rennes les champs libres,2011-02-10,rdc 3,1358
Rennes les champs libres,2011-02-11,rdc 3,1241
Rennes les champs libres,2011-02-12,rdc 3,1755
Rennes les champs libres,2011-02-13,rdc 3,1650
Rennes les champs libres,2011-02-15,rdc 3,1877
Rennes les champs libres,2011-02-16,rdc 3,1717
Rennes les champs libres,2011-02-17,rdc 3,1260
Rennes les champs libres,2011-02-18,rdc 3,1265
Rennes les champs libres,2011-02-19,rdc 3,1900
Rennes les champs libres,2011-02-20,rdc 3,1844
Rennes les champs libres,2011-02-22,rdc 3,2036
Rennes les champs libres,2011-02-23,rdc 3,1798
Rennes les champs libres,2011-02-24,rdc 3,1443
Rennes les champs libres,2011-02-25,rdc 3,1253
Rennes les champs libres,2011-02-26,rdc 3,1606
Rennes les champs libres,2011-02-27,rdc 3,1505
Rennes les champs libres,2011-03-01,rdc 3,2360
Rennes les champs libres,2011-03-02,rdc 3,1775
Rennes les champs libres,2011-03-03,rdc 3,1563
Rennes les champs libres,2011-03-04,rdc 3,1421
Rennes les champs libres,2011-03-05,rdc 3,1408
Rennes les champs libres,2011-03-06,rdc 3,1184
Rennes les champs libres,2011-03-08,rdc 3,2250
Rennes les champs libres,2011-03-09,rdc 3,1660
Rennes les champs libres,2011-03-10,rdc 3,1639
Rennes les champs libres,2011-03-11,rdc 3,1494
Rennes les champs libres,2011-03-12,rdc 3,1728
Rennes les champs libres,2011-03-13,rdc 3,1778
Rennes les champs libres,2011-03-15,rdc 3,1907
Rennes les champs libres,2011-03-16,rdc 3,1670
Rennes les champs libres,2011-03-17,rdc 3,1213
Rennes les champs libres,2011-03-18,rdc 3,1212
Rennes les champs libres,2011-03-19,rdc 3,1722
Rennes les champs libres,2011-03-20,rdc 3,1567
Rennes les champs libres,2011-03-22,rdc 3,1942
Rennes les champs libres,2011-03-23,rdc 3,1421
Rennes les champs libres,2011-03-24,rdc 3,1135
Rennes les champs libres,2011-03-25,rdc 3,1152
Rennes les champs libres,2011-03-26,rdc 3,1522
Rennes les champs libres,2011-03-27,rdc 3,1627
Rennes les champs libres,2011-03-29,rdc 3,1918
Rennes les champs libres,2011-03-30,rdc 3,1752
Rennes les champs libres,2011-03-31,rdc 3,1330
Rennes les champs libres,2011-04-01,rdc 3,1065
Rennes les champs libres,2011-04-02,rdc 3,1502
Rennes les champs libres,2011-04-03,rdc 3,1677
Rennes les champs libres,2011-04-05,rdc 3,1953
Rennes les champs libres,2011-04-06,rdc 3,1640
Rennes les champs libres,2011-04-07,rdc 3,1207
Rennes les champs libres,2011-04-08,rdc 3,1096
Rennes les champs libres,2011-04-09,rdc 3,1220
Rennes les champs libres,2011-04-10,rdc 3,1081
Rennes les champs libres,2011-04-12,rdc 3,2228
Rennes les champs libres,2011-04-13,rdc 3,1723
Rennes les champs libres,2011-04-14,rdc 3,1345
Rennes les champs libres,2011-04-15,rdc 3,1310
Rennes les champs libres,2011-04-16,rdc 3,1546
Rennes les champs libres,2011-04-17,rdc 3,1294
Rennes les champs libres,2011-04-19,rdc 3,1901
Rennes les champs libres,2011-04-20,rdc 3,1458
Rennes les champs libres,2011-04-21,rdc 3,1210
Rennes les champs libres,2011-04-22,rdc 3,1126
Rennes les champs libres,2011-04-23,rdc 3,1046
Rennes les champs libres,2011-04-26,rdc 3,1924
Rennes les champs libres,2011-04-27,rdc 3,1448
Rennes les champs libres,2011-04-28,rdc 3,1438
Rennes les champs libres,2011-04-29,rdc 3,1442
Rennes les champs libres,2011-04-30,rdc 3,1285
Rennes les champs libres,2011-05-03,rdc 3,2310
Rennes les champs libres,2011-05-04,rdc 3,1649
Rennes les champs libres,2011-05-05,rdc 3,1432
Rennes les champs libres,2011-05-06,rdc 3,1260
Rennes les champs libres,2011-05-07,rdc 3,1798
Rennes les champs libres,2011-05-10,rdc 3,1981
Rennes les champs libres,2011-05-11,rdc 3,1523
Rennes les champs libres,2011-05-12,rdc 3,1067
Rennes les champs libres,2011-05-13,rdc 3,1057
Rennes les champs libres,2011-05-14,rdc 3,1512
Rennes les champs libres,2011-05-15,rdc 3,1180
Rennes les champs libres,2011-05-17,rdc 3,1563
Rennes les champs libres,2011-05-18,rdc 3,1363
Rennes les champs libres,2011-05-19,rdc 3,996
Rennes les champs libres,2011-05-20,rdc 3,1018
Rennes les champs libres,2011-05-21,rdc 3,1171
Rennes les champs libres,2011-05-22,rdc 3,968
Rennes les champs libres,2011-05-24,rdc 3,1598
Rennes les champs libres,2011-05-25,rdc 3,1275
Rennes les champs libres,2011-05-26,rdc 3,1020
Rennes les champs libres,2011-05-27,rdc 3,956
Rennes les champs libres,2011-05-28,rdc 3,1071
Rennes les champs libres,2011-05-29,rdc 3,822
Rennes les champs libres,2011-05-31,rdc 3,1456
Rennes les champs libres,2011-06-01,rdc 3,1277
Rennes les champs libres,2011-06-03,rdc 3,1198
Rennes les champs libres,2011-06-04,rdc 3,920
Rennes les champs libres,2011-06-05,rdc 3,975
Rennes les champs libres,2011-06-07,rdc 3,1649
Rennes les champs libres,2011-06-08,rdc 3,1631
Rennes les champs libres,2011-06-09,rdc 3,1204
Rennes les champs libres,2011-06-10,rdc 3,1232
Rennes les champs libres,2011-06-11,rdc 3,1433
Rennes les champs libres,2011-06-14,rdc 3,1840
Rennes les champs libres,2011-06-15,rdc 3,1665
Rennes les champs libres,2011-06-16,rdc 3,1341
Rennes les champs libres,2011-06-17,rdc 3,1108
Rennes les champs libres,2011-06-18,rdc 3,1570
Rennes les champs libres,2011-06-19,rdc 3,1264
Rennes les champs libres,2011-06-21,rdc 3,1847
Rennes les champs libres,2011-06-22,rdc 3,1147
Rennes les champs libres,2011-06-23,rdc 3,1053
Rennes les champs libres,2011-06-24,rdc 3,931
Rennes les champs libres,2011-06-25,rdc 3,926
Rennes les champs libres,2011-06-26,rdc 3,624
Rennes les champs libres,2011-06-28,rdc 3,1387
Rennes les champs libres,2011-06-29,rdc 3,1031
Rennes les champs libres,2011-06-30,rdc 3,1093
Rennes les champs libres,2011-07-01,rdc 3,843
Rennes les champs libres,2011-07-02,rdc 3,938
Rennes les champs libres,2011-07-05,rdc 3,1351
Rennes les champs libres,2011-07-06,rdc 3,1147
Rennes les champs libres,2011-07-07,rdc 3,1054
Rennes les champs libres,2011-07-08,rdc 3,971
Rennes les champs libres,2011-07-09,rdc 3,1161
Rennes les champs libres,2011-07-12,rdc 3,1268
Rennes les champs libres,2011-07-13,rdc 3,1048
Rennes les champs libres,2011-07-15,rdc 3,852
Rennes les champs libres,2011-07-16,rdc 3,954
Rennes les champs libres,2011-07-19,rdc 3,1274
Rennes les champs libres,2011-07-20,rdc 3,1172
Rennes les champs libres,2011-07-21,rdc 3,1089
Rennes les champs libres,2011-07-22,rdc 3,927
Rennes les champs libres,2011-07-23,rdc 3,999
Rennes les champs libres,2011-07-26,rdc 3,1292
Rennes les champs libres,2011-07-27,rdc 3,965
Rennes les champs libres,2011-07-28,rdc 3,923
Rennes les champs libres,2011-07-29,rdc 3,846
Rennes les champs libres,2011-07-30,rdc 3,784
Rennes les champs libres,2011-07-31,rdc 3,1
Rennes les champs libres,2011-08-02,rdc 3,1141
Rennes les champs libres,2011-08-03,rdc 3,927
Rennes les champs libres,2011-08-04,rdc 3,1021
Rennes les champs libres,2011-08-05,rdc 3,992
Rennes les champs libres,2011-08-06,rdc 3,993
Rennes les champs libres,2011-08-09,rdc 3,1156
Rennes les champs libres,2011-08-10,rdc 3,821
Rennes les champs libres,2011-08-11,rdc 3,842
Rennes les champs libres,2011-08-12,rdc 3,891
Rennes les champs libres,2011-08-13,rdc 3,817
Rennes les champs libres,2011-08-16,rdc 3,969
Rennes les champs libres,2011-08-17,rdc 3,749
Rennes les champs libres,2011-08-18,rdc 3,921
Rennes les champs libres,2011-08-19,rdc 3,931
Rennes les champs libres,2011-08-20,rdc 3,726
Rennes les champs libres,2011-08-23,rdc 3,1431
Rennes les champs libres,2011-08-24,rdc 3,1106
Rennes les champs libres,2011-08-25,rdc 3,1300
Rennes les champs libres,2011-08-26,rdc 3,1067
Rennes les champs libres,2011-08-27,rdc 3,1180
Rennes les champs libres,2011-08-30,rdc 3,1338
Rennes les champs libres,2011-08-31,rdc 3,1287
Rennes les champs libres,2011-09-01,rdc 3,1326
Rennes les champs libres,2011-09-02,rdc 3,972
Rennes les champs libres,2011-09-03,rdc 3,1166
Rennes les champs libres,2011-09-04,rdc 3,883
Rennes les champs libres,2011-09-06,rdc 3,1624
Rennes les champs libres,2011-09-07,rdc 3,1466
Rennes les champs libres,2011-09-08,rdc 3,1148
Rennes les champs libres,2011-09-09,rdc 3,1140
Rennes les champs libres,2011-09-10,rdc 3,1504
Rennes les champs libres,2011-09-11,rdc 3,1071
Rennes les champs libres,2011-09-13,rdc 3,1563
Rennes les champs libres,2011-09-14,rdc 3,1447
Rennes les champs libres,2011-09-15,rdc 3,1131
Rennes les champs libres,2011-09-16,rdc 3,1003
Rennes les champs libres,2011-09-17,rdc 3,1346
Rennes les champs libres,2011-09-18,rdc 3,1304
Rennes les champs libres,2011-09-20,rdc 3,1832
Rennes les champs libres,2011-09-21,rdc 3,1565
Rennes les champs libres,2011-09-22,rdc 3,1248
Rennes les champs libres,2011-09-23,rdc 3,1066
Rennes les champs libres,2011-09-24,rdc 3,1640
Rennes les champs libres,2011-09-25,rdc 3,1051
Rennes les champs libres,2011-09-27,rdc 3,1842
Rennes les champs libres,2011-09-28,rdc 3,1390
Rennes les champs libres,2011-09-29,rdc 3,1746
Rennes les champs libres,2011-09-30,rdc 3,1127
Rennes les champs libres,2011-10-01,rdc 3,1432
Rennes les champs libres,2011-10-02,rdc 3,1039
Rennes les champs libres,2011-10-04,rdc 3,1851
Rennes les champs libres,2011-10-05,rdc 3,1798
Rennes les champs libres,2011-10-06,rdc 3,1433
Rennes les champs libres,2011-10-07,rdc 3,1330
Rennes les champs libres,2011-10-08,rdc 3,1907
Rennes les champs libres,2011-10-09,rdc 3,1509
Rennes les champs libres,2011-10-11,rdc 3,1951
Rennes les champs libres,2011-10-12,rdc 3,1715
Rennes les champs libres,2011-10-13,rdc 3,1352
Rennes les champs libres,2011-10-14,rdc 3,1179
Rennes les champs libres,2011-10-15,rdc 3,1719
Rennes les champs libres,2011-10-16,rdc 3,1580
Rennes les champs libres,2011-10-18,rdc 3,2098
Rennes les champs libres,2011-10-19,rdc 3,1687
Rennes les champs libres,2011-10-20,rdc 3,1357
Rennes les champs libres,2011-10-21,rdc 3,1358
Rennes les champs libres,2011-10-22,rdc 3,1706
Rennes les champs libres,2011-10-23,rdc 3,1490
Rennes les champs libres,2011-10-25,rdc 3,2687
Rennes les champs libres,2011-10-26,rdc 3,1970
Rennes les champs libres,2011-10-27,rdc 3,1869
Rennes les champs libres,2011-10-28,rdc 3,1805
Rennes les champs libres,2011-10-29,rdc 3,1620
Rennes les champs libres,2011-10-30,rdc 3,1462
Rennes les champs libres,2011-11-02,rdc 3,2178
Rennes les champs libres,2011-11-03,rdc 3,1396
Rennes les champs libres,2011-11-04,rdc 3,1478
Rennes les champs libres,2011-11-05,rdc 3,2096
Rennes les champs libres,2011-11-06,rdc 3,2189
Rennes les champs libres,2011-11-08,rdc 3,1960
Rennes les champs libres,2011-11-09,rdc 3,1700
Rennes les champs libres,2011-11-10,rdc 3,1324
Rennes les champs libres,2011-11-12,rdc 3,1939
Rennes les champs libres,2011-11-13,rdc 3,1747
Rennes les champs libres,2011-11-15,rdc 3,1997
Rennes les champs libres,2011-11-16,rdc 3,1676
Rennes les champs libres,2011-11-17,rdc 3,1297
Rennes les champs libres,2011-11-18,rdc 3,1325
Rennes les champs libres,2011-11-19,rdc 3,1921
Rennes les champs libres,2011-11-20,rdc 3,1936
Rennes les champs libres,2011-11-22,rdc 3,2129
Rennes les champs libres,2011-11-23,rdc 3,1673
Rennes les champs libres,2011-11-24,rdc 3,1339
Rennes les champs libres,2011-11-25,rdc 3,1310
Rennes les champs libres,2011-11-26,rdc 3,1806
Rennes les champs libres,2011-11-27,rdc 3,1810
Rennes les champs libres,2011-11-29,rdc 3,1991
Rennes les champs libres,2011-11-30,rdc 3,1756
Rennes les champs libres,2011-12-01,rdc 3,1264
Rennes les champs libres,2011-12-02,rdc 3,1303
Rennes les champs libres,2011-12-03,rdc 3,1695
Rennes les champs libres,2011-12-04,rdc 3,1760
Rennes les champs libres,2011-12-06,rdc 3,2112
Rennes les champs libres,2011-12-07,rdc 3,1655
Rennes les champs libres,2011-12-08,rdc 3,1284
Rennes les champs libres,2011-12-09,rdc 3,1082
Rennes les champs libres,2011-12-10,rdc 3,1779
Rennes les champs libres,2011-12-11,rdc 3,1609
Rennes les champs libres,2011-12-13,rdc 3,1822
Rennes les champs libres,2011-12-14,rdc 3,1623
Rennes les champs libres,2011-12-15,rdc 3,1208
Rennes les champs libres,2011-12-16,rdc 3,1164
Rennes les champs libres,2011-12-17,rdc 3,1356
Rennes les champs libres,2011-12-18,rdc 3,1374
Rennes les champs libres,2011-12-20,rdc 3,2308
Rennes les champs libres,2011-12-21,rdc 3,1734
Rennes les champs libres,2011-12-22,rdc 3,1662
Rennes les champs libres,2011-12-23,rdc 3,1462
